word e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20 e21 e22 e23 e24 e25 e26 e27 e28 e29 e30 e31 e32 e33 e34
bored 0.6775383581837278 0.45783414905247444 0.6533558820918706 0.6612896336250785 0.6202006342507383 0.7919312231366054 0.5751853150646549 0.6346448147165692 0.4963465966119488 0.6627937913641644 0.5713762690700506 0.5080020537853397 0.37990480018283407 0.4791678902474496 0.4987202004834193 0.5114677166230114 0.6220746448182568 0.6564286747569078 0.5477681738930007 0.5963793979905031 0.4211188814362083 0.5361770344987642 0.3743523030817112 0.4470523293175619 0.38942460050277167 0.5594043884944113 0.34443728559605336 0.36888166375196013 0.3645286921981516 0.4211178391252642 0.42858175745541266 0.5464477390528776 0.6970713979935675 0.578407766656019
too 0.7609370773281307 0.5300448268036363 0.7432768537959609 0.6945909370586115 0.6801971334739156 0.774484595184809 0.533608287537769 0.6066126712584406 0.4677960371315543 0.5156786580416927 0.47263296601795757 0.43118316052025685 0.34420445152787454 0.35125712967196093 0.43284453515513355 0.4687088082772357 0.6825988365925695 0.6786937705504603 0.5396111250779896 0.5982660938391681 0.38633400165924225 0.47297836694239864 0.37104528399754116 0.36741999268849773 0.3621620946909771 0.46837187931091745 0.325428939921251 0.3891191052486804 0.4474345840882471 0.3636263029200702 0.4383907596015485 0.5477359139164872 0.7420771708741947 0.5455693398264374
easy 0.8421080752085306 0.4444920646832939 0.7134886603423222 0.7235352593526719 0.6385673333881764 0.8476069995228444 0.5650836835095818 0.7024061539429133 0.5548482548584869 0.6984601308694601 0.31978461133616165 0.5118515717158587 0.2305849037331871 0.340068125488972 0.6459369050814063 0.5486656763339939 0.7086595485380031 0.7776210534154268 0.4747836731758256 0.6358126212327897 0.5106013170289279 0.672013984213993 0.44642313477709394 0.5887322797618242 0.3532208502154864 0.6350952005401578 0.3661321232532389 0.531333224742947 0.5145931473203346 0.5082696049103839 0.4980274580332745 0.44426187675206175 0.7135537599558496 0.42052295897569025
it 0.6278668226272897 0.46308129989504615 0.552718079765758 0.6058166350309877 0.5737738490275885 0.7223508739484467 0.5323857531302297 0.6050949281769311 0.5201075402688197 0.6280440317049372 0.582887724325857 0.5919879540941394 0.42927783781077505 0.4984936436407856 0.4911622263787617 0.42581447791800175 0.5913620621609285 0.5783543502419831 0.5258887619889944 0.548069537514249 0.463159983839747 0.584412104536525 0.4563810893254269 0.5680575228796904 0.4074368879225795 0.5679543513567817 0.3579588580815309 0.3688043746699622 0.452786363029576 0.4518748803572174 0.48297638758724726 0.5693208813262115 0.6274014800096885 0.5540096868672306
had 0.5625199854360696 0.4936289788422355 0.5223048538847426 0.6042230593062802 0.5784732697236944 0.6759014637714239 0.5609278866155077 0.56179304803901 0.4936237324587532 0.5489018177742243 0.5613117719229035 0.5014061652510593 0.4360506106754276 0.39890119925841994 0.5230652566096788 0.4729511513634056 0.5659506952150807 0.5582168726765872 0.5160539152055789 0.5158994453363845 0.5247046374509614 0.523783424104269 0.4394230053480192 0.49712500169247736 0.37910114543097206 0.5299724787327986 0.3248862925070245 0.3269078067619853 0.3858247826725459 0.36751752004169125 0.4948672711947125 0.5506897199311128 0.6146084442466238 0.5254882790619214
been 0.605189949036647 0.5365624835903993 0.6257254100489945 0.614228741749404 0.6031488457469893 0.627351087624627 0.6191752174737593 0.5827581928664771 0.4956380746802522 0.5771134967111149 0.527507666108401 0.5934008875474778 0.41903745240047774 0.5106032700048625 0.5051107331118221 0.5663724594828309 0.6760684924071104 0.626811782927456 0.6153409819745617 0.591622294478471 0.46292094016139795 0.6292057748691449 0.42916366755913354 0.5473768162886106 0.3242583097340645 0.598019278167339 0.392685281097547 0.43395073514353005 0.44700602193936473 0.4819995755901067 0.47370569183645067 0.6281125973040137 0.6364789587180203 0.5622877375893173
two 0.6184084419840772 0.4543433917284118 0.5394316812277582 0.569271569162346 0.4807454952204514 0.6240432001859324 0.429854937762739 0.5397356006851058 0.3371931263287052 0.4928576598556078 0.3956467317656973 0.49640560973930253 0.3824090569627383 0.4149619836115964 0.42604453866108144 0.49203599490176875 0.41706348134822235 0.4756240290632548 0.3821365962451515 0.3630602904705442 0.3846382411110325 0.3778474145304634 0.37462882086435906 0.3923632296009607 0.3230861926657532 0.5208266542840301 0.2565291086403863 0.32865423382036707 0.2761889620063114 0.4107814754741108 0.4350594299074679 0.5150194331751805 0.48380613738089145 0.4587068045151106
weeks 0.7762965053042655 0.6753168278385256 1.0 0.846581678313606 0.801558426323129 0.7273755161032102 0.6701254868225809 0.6102131135601739 0.6952374818302066 0.43924944119071324 0.5641113623906113 0.5267253958372656 0.496884239151682 0.5179257031863033 0.739186843861974 0.6769450595064366 0.8578231855840631 0.8297386728984765 0.7421985338317283 0.5571193491149757 0.7222458134673481 0.5405046134930145 0.5782172419628344 0.5657404171930706 0.5856148826903668 0.7032744200710997 0.45191489868678725 0.5426279153757964 0.5713910899439988 0.5163606633036538 0.6291906926134437 0.7591845261346135 0.7963799433821319 0.5961474816033867
since 0.7387328743615993 0.6278185862716238 0.9067813334725404 0.8213591253959905 0.7420803165803832 0.7455940115154286 0.693064835926161 0.7382957180844176 0.7668893969377775 0.5622436808624114 0.5693216515967856 0.6497669414814267 0.41450612776968837 0.4937747553410246 0.6814280783434415 0.5653350450539492 0.9182009771469691 0.8936466086258187 0.782969103455177 0.6396799859819556 0.7399319844655282 0.7250619574967465 0.6218287527506743 0.6273066286006805 0.5526406235898654 0.6732348816027863 0.5042302129723866 0.6347587913036669 0.5854154185346351 0.5415380760952501 0.5689845635547409 0.77054857282744 0.7394031728882009 0.6538250315471901
philip 0.6417561234654248 0.5448398165200986 0.81740917020927 0.7110169569417174 0.7093411527800506 0.6402285397666815 0.6705330979556655 0.5995875095251534 0.6471077778751326 0.3715196952661156 0.456818252998624 0.467131874945503 0.3035517437306467 0.3246090230539483 0.5634125533108512 0.3903846850435771 0.8664568617084778 0.7523917136059819 0.6947170756772382 0.5050620786616457 0.585226688316431 0.4743168756768782 0.5252784905750876 0.39608410206523903 0.37625178572027884 0.5232942721235446 0.4281600522396843 0.49332078536072754 0.3693647741267343 0.3693553416401351 0.38158686823648 0.5396367646001241 0.655982000468861 0.573718190478749
