word RTfirstfix RTfirstpass RTrightbound RTgopast
anne 0.4938351719662557 0.37610280015343306 0.28931838300383594 0.143076025098497
lost 0.5319597663854639 0.36555427694668197 0.30370315727353203 0.1768933313877134
control 0.554185593770279 0.3770617568085923 0.29507229271171437 0.16058660440682912
and 0.253010073535877 0.1542331898412693 0.12243142004987605 0.07730772437835036
laughed 0.7293964957819598 0.6484464902186421 0.6848627913838891 0.49066102436888953
billy 0.49724205061648274 0.35289604909858074 0.2714665092947772 0.13424777469721288
wrote 0.5756002595717067 0.3987341772151899 0.3807907937444674 0.22719976652560925
on 0.25382889474197634 0.15522750463182333 0.12295016363976496 0.07670415799959752
the 0.3729511880793517 0.23889131847992603 0.19085260130184892 0.11923930136209432
envelope 0.7222582738481506 0.6306098964326812 0.6397167305989967 0.5003648037355902
he 0.2863530510756338 0.17881150214771235 0.13936454038622817 0.07451987950492256
called 0.5980964741509842 0.46176959468098716 0.36598800039342977 0.18884673379055403
over 0.5337443218689163 0.34234752589182965 0.30067866627323697 0.17692981176127245
his 0.4439832574696727 0.291927357198048 0.24387611237430595 0.1648233579730038
shoulder 0.6563919532770928 0.48312236286919835 0.4918855119504279 0.49781117758645843
stayed 0.6898118105126541 0.5362485615650172 0.43995278843316615 0.23989493652414998
against 0.6236751027471338 0.43105101649405436 0.3654224451657323 0.21243737535872365
wall 0.45930672723339816 0.29393619741721005 0.23437346316514213 0.1364973977333528
helen 0.6515249837767683 0.5099731492136556 0.39229861316022424 0.19400262658689627
ran 0.40914990266060997 0.29535864978902954 0.2415166715845382 0.13461257843280314
to 0.2370280280322461 0.14998465392596572 0.11913838677633304 0.08069526275239101
toilet 0.6719662556781311 0.470464135021097 0.43847742696960756 0.3016197285860207
i 0.1381207317450017 0.08314108535627523 0.06395656816872515 0.03543964061620563
cannot 0.7391304347826086 0.6231300345224396 0.47934493951018 0.24084342623668464
tell 0.5361237291801859 0.35059455312619875 0.27864660175076233 0.15039642005934145
you 0.3983154877784988 0.25616049737885177 0.2054563784793941 0.125111873145581
more 0.5197112264763141 0.3623417721518987 0.2875110652109767 0.18869473223405808
michael 0.6145360155743024 0.5367280398925969 0.4128799055768663 0.2065153947176419
gave 0.5180889033095392 0.33338128116609134 0.2958468574800826 0.18514397587431297
adam 0.5389357560025957 0.3379363252780974 0.2962525818825612 0.1706551875091201
two 0.5479666882976422 0.3602480501214678 0.2948755778499065 0.19275013376136968
pounds 0.6674237508111616 0.6173762945914845 0.5473591029802302 0.48730483000145924
roger 0.4487345879299156 0.4000767165324127 0.30776040129831805 0.15219611848825332
smiled 0.5967908902691512 0.4454216669406543 0.3778646601750763 0.21277438452398328
sat 0.494970798182998 0.3314105022965783 0.27107307957116167 0.1517620955823203
down 0.48905044771365336 0.32416135200945334 0.2701291724897509 0.20389589009171669
things 0.6582576249188838 0.48254698887610276 0.41487164355267037 0.31400481540930975
were 0.4916450356911097 0.3185366321442271 0.26309383298908234 0.14788049029622066
looking 0.5848243255770833 0.4064195298372514 0.3453926569152299 0.20716161847783043
up 0.35030592379716324 0.22563393884596417 0.1969172849133752 0.15107239269558692
