word Fixation_Duration
129000 0.6564332867064223
united 0.3047421959702016
states 0.33931203891448314
consent 0.3359162188029154
with 0.3141443711822586
laid 0.38418366094873496
quebec 0.40574001815995486
down 0.3268840953152225
as 0.3147717551961132
dropped 0.3175157672580923
nuclear 0.37105562363085826
agreement 0.3287078035219094
kingdom 0.2939900365653145
japanese 0.3427372283331939
hiroshima 0.27738537975967115
august 0.3580155948005465
1945 0.47745939427084977
in 0.3469144683437802
bombings 0.3033080566394268
weapons 0.32545360845441823
two 0.3562993658038935
cities 0.2968907212446931
killed 0.24221453287197228
least 0.33938256153525237
people 0.3034915843684156
the 0.3083434576626228
remain 0.23102407421041007
during 0.34978646636601446
final 0.44067829885395965
world 0.33430442719811776
nagasaki 0.30895762560343293
of 0.32641351671982516
year 0.23915924317161158
allies 0.3252325210434612
anticipated 0.30481729612996644
very 0.3274874405331595
warfare 0.3789610963283937
history 0.2130015460502098
prepared 0.3238005840634126
what 0.32633964724813574
was 0.34181846664566534
be 0.3605883404676013
invasion 0.42226960871958297
concluded 0.4196348376647279
when 0.4031531010401657
preceded 0.3784141942133549
mainland 0.3485238901568137
nazi 0.22281528381064566
instrument 0.45218287565339027
signed 0.36589854965766033
firebombing 0.45046504208692234
campaign 0.4249920243441557
obliterated 0.4958158482416746
war 0.3518443338954272
fate 0.22096247760681245
refused 0.31080517313308303
germany 0.23063142653807453
on 0.31033373606086173
may 0.346749486004437
facing 0.3780092763012589
accept 0.2871236103953471
surrender 0.33549061677236597
unconditional 0.38615496261082655
pacific 0.30550442955655355
and 0.3035104104919658
together 0.30111168372229996
continued 0.4703305602591475
for 0.35930890882441485
called 0.34105057957711143
being 0.3706317819907038
potsdam 0.4879604407470122
forces 0.23926967532945595
ultimatum 0.4134825394488208
ignore 0.3453827087781295
armed 0.1911457949888341
26 0.3308056639426734
declaration 0.34830302584112494
end 0.40385612734872833
atomic 0.42426317210238285
attacks 0.24413605241846426
empire 0.29765749968208927
japan 0.31863148263059915
were 0.36189185317134565
fighting 0.3634935826646053
slowly 0.18999239245134852
winning 0.40127365088713834
bombs 0.2878622788289283
wwii 0.3892267294902942
city 0.28793344621953915
one 0.34066508524232497
harry 0.2899457655402587
ordered 0.29070652040540873
9 0.29043657513067805
this 0.29866409022562457
near 0.3104984171390709
been 0.3461022972544728
created 0.35220881844602675
manhattan 0.41981398316523105
these 0.3799798768067928
more 0.2690476987245006
much 0.3197182752950992
than 0.2475398169280228
powerful 0.2624604284767724
other 0.302891569644128
by 0.2909089078174647
140000 0.6158973226336842
80000 0.4081344678046437
generals 0.3320817688777639
bomb 0.2953324007951115
wanted 0.4002355886034013
instead 0.277479201943606
kokura 0.4999018380819161
day 0.077302510491055
both 0.3550516577093916
bombed 0.29244889445139755
died 0.22483987337112568
who 0.32380451260236115
civilians 0.2752705587867187
that 0.3189402674984566
soldiers 0.17728042405948613
are 0.30653220529513875
not 0.3699722692581413
young 0.34756681145549584
abu'l-fath 0.6855088468428673
ud-din 0.3462440796093155
muhammad 0.3136977945120476
akbar 0.32893399597431044
popularly 0.3379248570517068
jalal 0.45121878538649507
october 0.39289228301780754
later 0.3783749294461214
emperor 0.3535947128121169
mughal 0.35967792136532467
until 0.3939882836739201
1556 0.43932366438440207
from 0.3461348044408823
1542� 0.4344114784002879
he 0.3227970163292647
urdu 0.19604898279712385
greatest 0.2683890577507599
rulers 0.3414825254256897
india 0.2870739504975499
succeeded 0.32762030970085154
father 0.20915850695722593
humayun 0.40533510024785885
a 0.33730053374518965
under 0.3906220265456074
regent 0.37661046896856365
bairam 0.32437605830817934
khan 0.3186335861002724
helped 0.3074185869591891
expand 0.312044467348892
consolidate 0.3978870647132446
personality 0.2785786154261454
successful 0.26896365554982943
general 0.3660089818155047
gradually 0.3981650732883892
nearly 0.3548553338732239
include 0.33716778325848484
all 0.11492306559670176
indian 0.33278027172666236
subcontinent 0.41389189801911586
north 0.2756961608172681
godavari 0.3275908611254264
his 0.375974941752791
river 0.34377608493415013
power 0.22881543105352278
however 0.35021245043699584
extended 0.37846292459411796
entire 0.2475152764485018
because 0.293692098963394
political 0.39929814228570026
military 0.38003386586173893
cultural 0.29220348965618786
to 0.33476508853776205
vast 0.24261945078406832
established 0.38816482788359397
centralised 0.5217551350953398
administration 0.43543399838032837
throughout 0.38570271663108296
dominance 0.25908856659059115
system 0.2583376279172495
over 0.2944117981701726
unify 0.27406807529019117
economic 0.31022601781638814
state 0.3342027674649334
diplomacy 0.34421703600088344
marriage 0.224569928096395
order 0.3681010576946674
preserve 0.33176274264399125
peace 0.3615548847824486
culturally 0.3529166359910672
conquered 0.454656555989104
policies 0.25938796044074697
support 0.34795700507987926
non-muslim 0.3575793271000515
religiously 0.4183415543939729
eschewing 0.5701980416697342
policy 0.22169869199244155
conciliating 0.6002723993226827
won 0.36506417335394736
adopted 0.34595695599892023
far-flung 0.4528479226484085
unite 0.3945740999779136
realm 0.27409261576971217
loyalty 0.2833934575081597
through 0.3595085219907168
expressed 0.30395837934673237
subjects 0.25230066995509093
bonds 0.2550246631819186
tribal 0.3746275982232693
islamic 0.47527546688262284
identity 0.5081204446734889
